date,open,high,low,close,volume
2026-02-02,139.765,147.8751,138.0,139.63,27171514.0
2026-02-03,140.135,140.23,126.7401,133.26,26169018.0
2026-02-04,130.01,130.8199,121.188,129.09,25775590.0
2026-02-05,120.25,122.0,104.165,106.99,60129688.0
2026-02-06,114.95,135.67,114.68,134.93,57771017.0
2026-02-09,127.37,139.58,125.13,138.44,34291586.0
2026-02-10,133.66,139.16,132.6775,133.0,23002117.0
2026-02-11,133.685,133.91,123.915,126.07,25837795.0
2026-02-12,127.57,128.99,120.64,123.0,20960669.0
2026-02-13,126.995,135.25,125.76,133.88,24573898.0
2026-02-17,129.01,132.12,125.91,128.67,18881039.0
2026-02-18,127.625,132.25,123.615,125.2,17307658.0
2026-02-19,123.49,130.04,121.87,129.45,15457214.0
2026-02-20,130.51,136.14,129.41,131.05,17625403.0
2026-02-23,127.895,130.375,122.83,123.71,18858939.946498
2026-02-24,121.71,126.7399,118.4,124.61,15352689.13168
2026-02-25,130.045,137.86,128.94,135.65,24152057.054925
2026-02-26,133.7,135.75,128.64,133.4,18110816.089414
2026-02-27,128.945,131.12,127.8602,129.5,14027679.773162
2026-03-02,129.135,140.14,128.94,137.65,25456105.283344
2026-03-03,133.335,136.46,127.8,132.68,19405915.593524
2026-03-04,143.825,149.54,142.19,146.44,37382631.095975
2026-03-05,145.04,146.44,137.21,139.81,21286000.526221
2026-03-06,134.895,136.36,131.77,133.53,19538812.47418
2026-03-09,136.0,140.19,135.303,138.95,20432959.463457
2026-03-10,141.925,142.46,133.94,138.46,18324975.135937
2026-03-11,139.81,142.67,135.14,138.33,15637635.974382
2026-03-12,137.16,138.8,133.38,137.34,15229408.332876
2026-03-13,143.86,147.26,138.44,139.67,23685396.004049
2026-03-16,145.35,148.24,143.31,147.52,22933213.542336
2026-03-17,145.965,152.27,145.23,150.28,18448492.518218
2026-03-18,144.99,146.7586,140.35,140.56,21314080.710921
2026-03-19,135.02,139.78,132.76,138.24,19227745.036103
2026-03-20,139.47,139.685,134.13,135.66,28568296.582546
2026-03-23,138.605,139.93,133.97,138.2,21633732.872547
2026-03-24,138.73,140.05,134.28,136.25,19098507.499391
2026-03-25,140.4,143.85,136.8,139.13,18708022.050431
2026-03-26,136.55,139.08,132.691,132.93,15285460.713187
2026-03-27,129.88,130.65,123.98,126.03,21475088.129309
2026-03-30,129.55,130.34,120.8,121.44,15800396.61961
2026-03-31,123.16,125.3,117.75,124.8,21290255.967216
2026-04-01,126.18,126.3,121.44,122.78,15378297.726796
2026-04-02,119.8,122.645,116.4,119.83,17609742.293495
2026-04-06,124.57,128.46,123.2,127.69,18435856.437487
2026-04-07,125.32,126.74,121.14,123.72,14284175.586296
2026-04-08,133.665,134.5,126.13,128.3,17149196.659376
2026-04-09,127.825,132.21,125.8,128.86,14497441.087363
2026-04-10,130.05,132.28,127.4,128.64,13097463.787967
2026-04-13,126.65,132.49,125.04,132.36,12804672.788066
2026-04-14,137.925,143.7,136.32,137.41,20643176.976921
2026-04-15,139.75,143.75,135.49,143.54,13941677.756952
2026-04-16,143.21,149.16,139.33,148.94,17637956.87566
2026-04-17,154.63,173.15,153.77,166.52,52173653.438053
2026-04-20,162.295,171.06,160.635,170.81,22173493.441965
2026-04-21,170.61,172.9,163.75,163.97,22153491.501922
2026-04-22,174.925,183.25,174.0,179.36,31893901.964361
2026-04-23,175.88,180.92,171.5401,172.47,19558950.603196
2026-04-24,176.875,177.28,169.0101,171.02,14119363.148914
2026-04-27,170.92,175.75,167.61,169.2,13295416.929729
2026-04-28,163.87,166.84,159.6801,165.71,13858672.757039
2026-04-29,165.71,165.74,156.1101,158.19,15146167.89046
2026-04-30,161.77,166.84,159.001,165.45,12437794.116194
2026-05-01,170.8,180.38,169.43,177.17,21661221.054419
2026-05-04,180.9,186.005,178.49,183.8,18210204.831269
2026-05-05,189.55,190.41,183.72,186.9,15512807.261724
2026-05-06,184.565,188.26,178.94,186.82,14338623.295988
2026-05-07,184.41,184.41,175.72,179.84,15918054.991434
2026-05-08,178.68,187.77,177.6,187.59,15985219.333437
2026-05-11,189.2,197.0,182.31,195.94,16062957.209867
2026-05-12,191.325,192.2374,179.85,184.42,14738455.763673
2026-05-13,182.03,182.48,175.57,178.03,12480652.086106
2026-05-14,177.85,193.0,174.64,186.97,15859427.42212
2026-05-15,182.11,182.23,173.61,177.42,19654296.606338
2026-05-18,169.175,169.175,162.02,166.63,19299743.202592
2026-05-19,163.99,168.49,163.5,164.63,10001991.882478
2026-05-20,166.0,169.23,163.26,165.81,9825341.619175
2026-05-21,164.28,168.71,160.57,164.85,10526933.490165
2026-05-22,164.09,165.66,159.24,159.89,12786840.911965
2026-05-26,160.83,167.0,159.28,159.93,11819542.852186
2026-05-27,156.76,157.55,153.8221,154.2,11885089.473881
2026-05-28,148.98,153.64,144.3,151.64,16275047.705432
2026-05-29,149.925,162.06,148.2,159.09,19225591.973309
2026-06-01,148.465,153.87,144.29,149.78,17780261.457507
2026-06-02,142.685,142.8,134.11,136.08,31130821.480296
2026-06-03,134.5,138.18,125.0,126.545,21141778.190665
2026-06-04,126.745,131.47,125.65,129.37,24590429.340489
2026-06-05,124.25,125.2953,114.31,120.44,41943521.330099
